Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Merge pull request #8922 from hashicorp/f-vsphere_iso-export-ovf-options,0.45906013,core/hcl2: Fixes a data loss issue when merging an empty-object map to a non-,Prior to v1.8.6 a change to the release pipeline was introduced to automatically set and bump product version information. In that change the ldflags for striping debug symbols was removed resulting in binaries with full debug symbols. Thus resulting in larger binary deliverables. This change adds the missing ldflags back into the build pipeline. Results for Packer 1.8.5 ``` ~>  unzip ~/packer_1.8.5_linux_amd64.zip ~>  go tool nm -size packer| c++filt reading packer: no symbol section reading packer: no symbols ``` Results for Packer 1.8.6 ~>  unzip ~/packer_1.8.6_linux_amd64.zip ~>  go tool nm -size packer| c++filt | tail -n 10  8d97ac0       2816 D vendor/golang.org/x/text/unicode/norm.nfcSparseValues  8df2f60       6144 D vendor/golang.org/x/text/unicode/norm.nfcValues  8f96fc8          8 D vendor/golang.org/x/text/unicode/norm.nfkcData  8d985c0       2816 D vendor/golang.org/x/text/unicode/norm.nfkcIndex  8fa40a0         48 D vendor/golang.org/x/text/unicode/norm.nfkcSparse  8f4a3c0         24 D vendor/golang.org/x/text/unicode/norm.nfkcSparseOffset  8db5c00       3580 D vendor/golang.org/x/text/unicode/norm.nfkcSparseValues  8e48d60      12032 D vendor/golang.org/x/text/unicode/norm.nfkcValues  8f96fd0          8 D vendor/golang.org/x/text/unicode/norm.recompMap  8fe5bd0         12 D vendor/golang.org/x/text/unicode/norm.recompMapOnce Closes #12392,0
2,check to make sure a vm-name isn't already in use before trying to launch a vm with said name.,0.57924545,vmware@v1.0.5 - CHANGELOG,,0
3,Check that only certain files are executable,0.48214087,     -only/exlude filters for running select builds., Add a few missing entries Fix minor typos,0
4,Fixing auto-generated code errors,0.51309514,    specific bug fixes and improvements.,,0
5,Add vendoring for unicode:,0.44806015,core: Linux packages now have vendor label and set the default label to,.go-version: Bump version of Go to 1.20.4,0
6,WIP add context to state bag,0.47144198, works as intended prior to pushing metadata to HCP Packer.,,0
7,Merge pull request #10693 from hashicorp/docs-update-multi-component-bin-name,0.4806353,"     HashiCorp. This fix is implemented for any future releases, but will not be",Fixed formatting issue,0
8,"Revert ""debug should retry""",0.5408353,    the --debug argument has been passed.,,0
9,common: config strings to slices [GH-950],0.51265454,     in powershell provisioner. GH-11950,"When tsscr bumped the version of the action to v6, we experienced some failures in our nightly runs. To make the action operable again, we pin the action to the former: v3.",0
10,website: document some of the new Docker stuff,0.692928,core: The dockerfile that is used to build the packer docker image available,[HPR-1038] Remove circular reference between data source doc pages,0
11,Merge pull request #1330 from qur/qemu-vagrant,0.45001495,qemu@v1.0.8 - CHANGELOG, Update the data source documentation with a link to the amazon-ami configuration reference guide.  Closes #12336,0
12,Move datasource data into its own bucketConfiguratioOpts func,0.48847514,New Datasource HTTP datasource retrieves information from a HTTP,Add release branches to Go GHA workflows,0
13,communicator/ssh: explicitly set c.conn = nil,0.59444773,    algorithms in SSH communicator.,,0
14,Added myself to the Community page,0.45186117,     https://developer.hashicorp.com/packer. Users are encouraged to visit the,,0
15,Fix to allow equals sign in value of environment variable,0.53279436,"    is an alternative to using environment_vars for setting environment variables, ",Bump Go tooling to version 1.20,0
16,Merge pull request #575 from ciarand/feature/fix-typo,0.4410457,core/hcl2: Fixes a data loss issue when merging an empty-object map to a non-,This change removes a set of plugins that have not been updated in a while. These plugins have been archived for some time now. Users wishing to continue using these plugins should use the packer plugins install or packer init commands to install the external plugin.,0
17,[lxc] add basic tests,0.4939942,lxc@v1.0.2 - CHANGELOG," Remove profitbricks plugin Remove oneandone plugin  The following plugins have been unmaintained for some time now, and their upstream cloud provider has consolidate the services. These plugins will continue to be available to Packer via direct installation using packer init or the packer plugins install command. But they will no longer be bundled with Packer.",0
18,provisioner/chef-solo: properly escape user vars for JSON,0.59168303,     legacy JSON template containing user variables with an undefined variables,,0
19,fix cdrom and floppy drive unmounting issue when creating templates (#82),0.530186,"     *.pkrvars.hcl), but isn't defined with the template files (i.e",,0
20,remove redundant keep_input_artifact code from googlecompute-export and googlecompute-import pps. The behavior coded here was already enforced by the core postprocessor code in packer/build.go,0.51346713,core: The packer-plugin-check command has been removed. Plugin maintainers,,0
21,"Revert ""aws: test timeout when no credenrtials are set"" Revert ""aws: set max retries back to 20""",0.54523873,    scheduled revocations.,  Fix go vet issue   Bump Go tooling to version 1.20   Update workflows to use go-version file ,0
22,Use more uuids and make messaging consistent.,0.48983485,     a regular basis to address issues and feature requests. Users are encouraged,Co-authored-by: hashicorp-tsccr[bot] hashicorp-tsccr[bot]@users.noreply.github.com,0
23,Merge pull request #3324 from dmikurube/add-timezone-description-for-isotime,0.48547554,converge@v1.0.1 - CHANGELOG,The Digital Ocean plugin is now maintained and released by the Digital Ocean team. To ensure users are downloading the latest available version the plugin will nolonger be bundled with Packer.,0
24,Merge pull request #2797 from jen20/improve-aws-instance-builder-error,0.56188214,core/hcl2: Fix crash when parsing malformed provisioner override blocks.,"The template type for a builder, provisioner, post-processor or datasource was not tracked with telemetry data. This commit adds the infrastructure to track this, bumping the schema for non-crashes to `beta/packer/6' at the same time.",0
25,"builder/qemu: remove constructor, more Go-like",0.55879974,     build for JSON templates. Previously only the builder type or the builder,"Packer's telemetry package captures the field names from a configuration on legacy JSON templates, but did not contain any code for handling HCL2 template configurations. This commit adds a routine to extract the field names from a HCL2 configuration once flattened, and adds some glue code to propagate the configurations to the telemetry structures.",0
26,Merge pull request #12037 from hashicorp/website/upgrade-next,0.4963675,core: Update dependency to resolve GO-2022-0969.,,0
27,Merge pull request #378 from justinsb/increase_ssh_timeout,0.53087884,There's been a change in the way the ssh_timeout and the,Now completes more commands and also matches template files both for pkr.hcl and pkr.json as suggested by the packer template naming scheme.,0
28,hcp: remove superfluous return value on GetBuilds,0.5142767,core: HCP Packer datasources will no longer fail for iterations with,  clarify local and input variables   Apply suggestions from code review   Co-authored-by: Rose M Koron 32436232+rkoron007@users.noreply.github.com  Apply suggestions from code review  Co-authored-by: Rose M Koron 32436232+rkoron007@users.noreply.github.com Co-authored-by: Wilken Rivera wilken@hashicorp.com  Apply suggestions from code review  Co-authored-by: Wilken Rivera wilken@hashicorp.com  Co-authored-by: Rose M Koron 32436232+rkoron007@users.noreply.github.com Co-authored-by: Wilken Rivera wilken@hashicorp.com,0
29,Merge pull request #5968 from boumenot/pr-azure-5759-spelling,0.38258716,core: Update dependency to resolve GO-2022-0969.,It is not clear that the console command runs in legacy JSON mode by default and that users can specify the -config-type flag to toggle HCL2 mode. This change adds the config-type flag to the command's help text to alert users of the gotcha. In the next minor Packer release the console command will be updated to default to HCL2 mode. Relates to: #12359 Relates to: #10603,0
30,make every script name unique,0.45589823,     custom builder names are outputted to STDOUT as uninterpolated user,  Packer plugins rely on the Packer SDK for the majority of its HCL dependency. To prevent issues with the version of go-cty or hcl/v2 pkg getting out of sync this changes sets the allowed dependency to packer-plugin-sdk only.   HashiCorp is standardizing on pinning versions of allowed GitHub actions to prevent the introduction of potential security issues. This change removes GitHub actions from dependabot. ,0
31,update changelog in preparation for v1.0.4,0.7457681,inspec@v1.0.0 - CHANGELOG,,1
32,all calls to cp should be escaped,0.32447982,     -only/exlude filters for running select builds.,,0
33,Merge pull request #719 from sudharsh/go_minver_verify,0.4839893,core: Update dependency to resolve GO-2022-0969.," Update external plugin documentation source  The UCloud plugin for Packer is now maintained by the UCloud team, under their respective GitHub org. This changes updates the source address for the external plugin that should be used for pulling new plugin documentation.  Remove packer-plugin-ucloud from vendored plugins.",0
34,Merge pull request #2596 from manicai/master,0.41142273,core: Fix the registration of deleted input artifacts in HCP Packer when,adding comma! Co-authored-by: Lucas Bajolet 105649352+lbajolet-hashicorp@users.noreply.github.com,0
35,"Revert ""Fix bugs""",0.7897039,    specific bug fixes and improvements.,Adding the HCP Ready tag to the Outscale plugin. The HCP compatibility was added in this PR: https://github.com/outscale/packer-plugin-outscale/pull/70,1
