Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,"fix: reorder changelog, add 4 missing PRs that were merged since",0.70831895,fix(release): only include prs since last version in the changelog #1171,chore: Update documentation reference,1
2,Caching doesn't seem worthwhile on windows,0.4756739,chore: cache examples and terraform plugins #2213,,0
3,Merge pull request #460 from hashicorp/dependabot/npm_and_yarn/ini-1.3.8,0.5057063,chore: npm-check-updates && yarn upgrade #1489,,0
4,Merge pull request #1219 from hashicorp/configure-dependabot,0.56657284,chore: fix config for dependabot #1057,A convenient helper that runs get in a certain directory Also had to refactor out some duplicate type definitions,0
5,log out npm version,0.55134094,fix: scoped packages need a publish config to be published to npm #2347,Closes link,0
6,chore: Add warning when escape sequences are used within Terraform functions,0.67996943,feat: Extend support for Terraform expressions #1131,,0
7,refactor(cli): move outputs rendering into separate component,0.6812986,refactor(cli): move cli library into seperate package #2253,fix(lib): add more excludes to .npmignore,0
8,Merge pull request #2102 from cwiggs/patch-1,0.55206716,fix(hcl2cdk): handle no providers passed and add cdktf import for remote state data sources #1561,,0
9,chore: update snapshots to the jest 29 format,0.5684998,chore(tests): remove jsii version from snapshot #1341,,0
10,refactor(hcl2cdk): use named type to distinguish unkowns,0.59472156,test(hcl2cdk): add test case for property renaming #1709,,0
11,chore: align renaming of null provider extra case,0.60550797,Rename null provider for java & c# #589,fix(cli): fix template for Go unit tests,0
12,fix: attempting to fix #1534,0.71469665,fix(lib): fix documentation link for lookup #1347,Resolves #2828,1
13,feat: also go through files not yet added to git,0.9619869,feat: also go through files not yet added to git #2567,chore(docs): update checkpoint file path that was moved to @cdktf/commons,1
14,fix(cli): Make provider add command case insensitive for provider names,0.94527876,fix(cli): Make provider add command case insensitive for provider names #2038,,1
15,Compare with the correct attribute,0.52439755,Inject defaults for certain attributes #479,,0
16,fix(cli): update unit tests for terraform parallelism flag,0.8191042,feat(cli): Add support for terraform's parallelism flag #2107,chore(release): release 0.16.1,1
17,Merge pull request #1625 from hashicorp/multi-stack-parallel,0.5919027,feat(cli): support generating provider bindings in parallel #2111,,0
18,Merge pull request #1488 from jsteinich/cross_stack_backends,0.55059844,chore(docs): link docker integration example #789,,0
19,Add Docker workflow,0.70843184,chore: update workflows for new workflow endpoint #2378,fix(cli): fix no-color flag passing,1
20,Merge branch 'main' into feat-automate-release-process,0.5776242,feat(release): support running releases on backport-release branches besides only on main #1770,,0
21,chore: bring tests up to date,0.6899785,chore(tests): Align workflow trigger #931,This will help us a lot when debugging issues in the future,0
22,Merge pull request #2214 from hashicorp/fix/upgrade-docker-image,0.5650943,fix: switch back to offical image to fix issue with stale signature files #2588,Closes #2741,0
23,fix: actually print stderr,0.586348,fix(cli): Only print error that's thrown #1678,fix(cli): buffer the output from the Terraform CLI and only forward output that has been terminated by a newline,0
24,feat: use git ls-files instead of glob to detect files. put tsconfig.json under version control,0.5876137,"feat(provider-generator): emit a versions.json file to the output directory, containing the used provider versions #1749",fixes #2827,0
25,chore: fix test assertion,0.7407884,chore(cli): fix typo in test assertion #1591,fix(hcl2cdk): Support conversion of functions that have variate arguments at the end,1
26,chore: Migrating links to new format,0.7289598,chore(docs): revert link change #1177,,1
