Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update examples.tsx (#8634),0.44715175,tsx,Update link to creating REST API,0
fix link typo (#8632),0.5005724,Thanks @gabrielkuettel for fixing a typo Database Items API page!,Co-authored-by: Ronald Aveling raveling@users.noreply.github.com,0
chore(deps): update mariadb docker tag to v11 (#8631),0.41310656,-   Updated dependencies \[]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update dependency esbuild to ^0.18.0 (#8630),0.7082968,[core] Fixes platform configuration for esbuild (#8031) @mmachatschek,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,1
chore(deps): update dependency @manypkg/cli to ^0.21.0 (#8629),0.5329921,- CVE-2022-36313 - An upstream transitive dependency file-type is vulnerable to a ReDoS. We have upgraded to a version of file-type where this is resolved.,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update pnpm to v8.6.2 (#8628),0.4905146,Node.JS engines in our packages have been updated to 12.x and 14.x to keep up to date with the latest versions of our dependencies. ,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Removes redirect functionality from /signin page to prevent open redirection CVE (#8626),0.5981502,"[auth, core] Fixes pageMiddleware to be called for publicPages, returning support for public redirects (#8280) @dcousens",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Add next-auth using a custom session strategy (#8582),0.63773906,"If you are using @keystone-next/auth,  we strongly recommend you upgrade to @keystone-6.",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,0
Version Packages (#8599),0.6170995,The following packages have been updated,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Fix broken types for field groups and access functions (#8617),0.6572865,"[core] Fixes broken types for field groups, regression from https://github.com/keystonejs/keystone/pull/8570 (#8617) @dcousens",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
chore(deps): update pnpm to v8.6.1 (#8608),0.4922766,Node.JS engines in our packages have been updated to 12.x and 14.x to keep up to date with the latest versions of our dependencies. ,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Fix db usage in onConnect when combined with migrations (#8612),0.6684126,"[core] Fixes db.onConnect, with keystone start --with-migrations, to run  after migrations complete (#8612) @acburdine",Co-authored-by: Daniel Cousens 413395+dcousens@users.noreply.github.com,0
"(website) Enterprise page, outbound links, typo fixes  (#8606)",0.44981757,Thanks @gabrielkuettel for fixing a typo Database Items API page!,  Update docs README to reflect how to run site locally   Improve styling and layout of field/form components   Fix typo in DS page   Content & Link updates   add utm link to why-keystone page   prettier format   Replace noopener noreferrer with noreferrer   add noreferrer to /enterprise   remove unnecessary import    Co-authored-by: Ronald Aveling raveling@users.noreply.github.com,0
updae to node 18 in codesandbox (#8607),0.48103392,Node updates :rocket:,,0
chore(deps): lock file maintenance (#8605),0.49417007,[core] Fixes error when deleting an item that has a file or image that is no longer on the filesystem (#8239) @borisno2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Fix hanging process when multiple Prisma generators are defined (#8598),0.9339234,[core] Fixes hanging process when multiple Prisma generators are defined (#8598) @acburdine,"closes #8586 - getGenerator only works when one generator is defined, by switching to getGenerators we ensure that all the generators are used & handled correctly",1
fix(deps): update prisma monorepo to v4.15.0 (#8593),0.8883208,Updated Prisma monorepo to v3.4.0,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,1
chore(deps): update pnpm to v8.6.0 (#8592),0.49461764,Node.JS engines in our packages have been updated to 12.x and 14.x to keep up to date with the latest versions of our dependencies. ,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update dependency @types/babel__core to v7.20.1 (#8591),0.58086836,"💡 If you've been using a custom Babel config, you'll need to remove this as it’s no longer supported in Next.js 11.",Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
Simplify README.md and CONTRIBUTING.md (#8587),0.36290509,"Lastly, thanks to @dcousens (#8016) for changes not shown above, but none-the-less appreciated.",Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Version Packages (#8571),0.63313335,The following packages have been updated,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,0
Update team logos for enterprise support (#8516),0.42946073,"Wait, theres more. You can also replace the default Admin UI logo with your own brand assets. ✨ ",Update team logos for enterprise support,0
fix(deps): update dependency @markdoc/markdoc to ^0.3.0 (#8585),0.51657546,-   Updated dependencies \[]:,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update prisma monorepo to v4.14.1 (#8584),0.90017974,Updated Prisma monorepo to v3.4.0,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Daniel Cousens dcousens@users.noreply.github.com,1
