Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Merge pull request #4431 from react-bootstrap/dependabot/npm_and_yarn/babel/cli-7.6.0,0.5774069,update react-overlays and @restart/hooks packages (#6333) (9654ca2),  Added onClick event to button docs (#5405)   Update Button.tsx    Co-authored-by: Kyle Tsang 6854874+kyletsang@users.noreply.github.com,0
2,chore(deps-dev): bump @4c/rollout from 1.3.4 to 1.3.5 (#3772),0.6084374,bump @restart/hooks to v0.4.6 (#6294) (dceb74b),Bumps yaml from 2.2.1 to 2.2.2. - Release notes - Commits  updated-dependencies: - dependency-name: yaml   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
3,Merge pull request #2016 from taion/vcc-toArray,0.47231966,"CollapsableMixin: Fixed not removing event handlers correctly, thanks @justjake",  chore: update bug report template   placeholder ,0
4,chore(deps): bump gatsby from 2.3.22 to 2.3.23 in /www (#3659),0.59696686,2.0.4 (2021-12-20),  docs: fix playground tabbing and add copy button   missed file ,0
5,Improve changelog wording,0.45014557,"In addition this version includes many bug fixes and small propType changes for added API flexibility, thanks to all contributors.",,0
6,Merge pull request #891 from AlexKVal/customPropsSpec,0.53616893,v5: Drop InputGroupPrepend and InputGroupAppend (#5351) (8e73b63),Bumps ua-parser-js from 0.7.32 to 0.7.35. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ua-parser-js   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
7,Merge pull request #710 from react-bootstrap/cache-and-safeties,0.5098883,update react-overlays and @restart/hooks packages (#6333) (9654ca2),"Bumps @sideway/formula from 3.0.0 to 3.0.1. - Release notes - Commits  updated-dependencies: - dependency-name: ""@sideway/formula""   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
8,[added] CustomPropTypes.singlePropFrom,0.5352799,"In addition this version includes many bug fixes and small propType changes for added API flexibility, thanks to all contributors.",Bumps webpack from 5.75.0 to 5.79.0. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
9,Create CollapsibleMixin.,0.6118998,isCollapsable -> collapsable,Bumps http-cache-semantics from 4.1.0 to 4.1.1. - Release notes - Commits  updated-dependencies: - dependency-name: http-cache-semantics   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
10,[added] Collapsible Panel transition hooks,0.6105158,SplitButton: add flip prop support (909c564),,0
11,[fixed] typo,0.4557264,Modal: fix children typing (#6023) (30ceea8),,0
12,Merge pull request #151 from pieterv/react-0.11-compat,0.55041516,v5: Drop InputGroupPrepend and InputGroupAppend (#5351) (8e73b63),,0
13,Release v0.23.7,0.82093304,2.3.0 (2022-04-19),  fix: update dependencies   remove server test config ,1
14,Publish v1.3.0,0.63462913,2.3.0 (2022-04-19),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
