Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Source borderWidth options from config,0.6695764,Support border-opacity utilities alongside default border utility (#4277)," run PostCSS relative to test file  The PostCSS from was always set to the tests/util/run file with the current test name as a query param to make it unique. However, that results in issues with relative file paths because they are now relative to this file instead of the actual test file. Luckily, expect.getState() exposes the testPath value that points to the current test file itself.   add built in @import processing   additional features such that you can use @tailwind and @config   directives before the @import at rule which isn't normally allowed.   However ""@tailwind"" in a way is an @import and @config in a way is   a @charset which can be used before the @import at rule.   drop partial normalizeTailwindDirectives when in the Oxide engine   This will now be handled by Tailwind from a higher level, so the core doesn't have to worry about normalizing this anymore since it will always be normalized right now.   add handleImportAtRules to CLI   update changelog   scope import processing to the oxide engine   update Changelog   use direct comparison   We don't need the startsWith check anymore because the contents of the comment will be the actual value we expect.",0
2,Merge pull request #1959 from tailwindcss/dependabot/npm_and_yarn/master/autoprefixer-9.8.4,0.60947907,Add standalone tailwindcss CLI (#6506)," ensure beginning \n is not removed  The \s regex includes newlines \n, but we only want leading spaces to be removed.  update changelog",0
3,Update prettier-plugin-tailwindcss to version 0.1.11,0.85733354,Improve types of the tailwindcss/plugin (#8400),,1
4,Merge pull request #1944 from tailwindcss/dependabot/npm_and_yarn/master/babel/preset-env-7.10.3,0.6056002,  @tailwind utilities;,,0
5,Add peer variant (#4556),0.68209314,JIT: Don't add multiple ~ when stacking peer-* variants (#4757),"  resolve all existing content paths   pin @napi-rs/cli   WIP: Log all resolved content files/globs   only filter out raw changed content in non-auto mode   skip parseCandidateFiles cache in auto mode   improve algorithm of detecting content paths   Files in the root should be listed statically instead of using globs.  Files and folders in special known direct child folders should be    listed statically instead of using globs (e.g.: public). This is    because these special folders are often used to store generated AND    source files at the same time. Using globs could trigger infinite    loops because we are watching and acting upon dist files. All file extensions found in the project, should be used in the globs    in addition to a known set of extensions.  Direct folders seen from the root, can use the glob syntax    <root>/src/**/*.{...known-extensions}   inline wanted-extensions   Not 100% convinced yet, but seems cleaner so far.   ensure writing an file also makes the parent folder(s)   add integration tests for the auto content feature   add pnpm and bun lock files   Revert ""inline wanted-extensions""   This reverts commit 879c1248524e84216125f4a24e0160b40736333a.   sort binary-extensions and add lockb   sort + add lock to ignored extensions   drop yarn.lock, because lock extensions are already covered   group template extensions   This will make it a bit easier to organize in the future.   drop empty lines and commented lines from template-extensions   skip the config path when resolving template files   The config file will automatically trigger a rebuild when this file is changed. However, this should not be part of the template files because that could cause additional css that's not being used.   make auto content the default in the oxide engine   In the oxide engine, the default content: [] will be dropped from   the default configuration (config.simple.js, config.full.js).   If you have content: [] or content: { files: [] } then the auto   content feature won't be active. However if those arrays are empty a   warning will still be shown. Adding files/globs or dropping the   content section completely will enable auto content.   only test the auto content integration test in the oxide engine   set content.files to auto instead of using auto: boolean   This way we don't run into the issue where the config.content.files is set and the config.content.auto is set to true.   drop log   ensure we validate the config in the CLI   show experimental warning for automatic content detection   use cached version of the getCandidateFiles instead of bypassing it   use is_empty() shorthand   Thanks, Clippy!   add test to ensure nested ignored folders are not scanned   add tempfile for tests   add auto content tests in Rust   refactor auto content detection   This will also make sure that if we have (deeply) nested ignored folders, then we won't use deeply nested globs (/.{js,html}) for the parent(s) of the nested ignored folders but instead use a shallow glob for each directory (/*.{js,html}). Then each sibling directory of the parent can use deeply nested globs again except for the direct parent.   use consistent comments   ensure ignored static listed files are not present   improve performance by ~30x   On a big test project this goes from ~6s to ~200ms  improve performance by ~5x  We started with a ~6s duration Then in the previous commit, we improved it by ~30x and it went down to ~200ms Now with this change, it takes about ~40ms. That's another ~5x improvement. Or in total a ~150x improvement.   ensure nested folders in public/ are also explicitly listed   add shortcut for normalizing files   This is only called once so won't do anything to the main performance of Tailwind CSS. But always nice to make small performance improvements!   run Rust tests in CI   fix lint warnings   update changelog   Update CHANGELOG.md    Co-authored-by: Robin Malfait malfait.robin@gmail.com",0
6,Update prettier,0.5988855,New features,"  make @import ""tailwindcss"" work out of the box   update changelog ",0
7,Fix issue with Tailwind modifying global state (#9294),0.73980975,Update Tailwind,,1
8,Merge pull request #1156 from tailwindcss/dependabot/npm_and_yarn/master/babel/node-7.6.3,0.6279935,"New config file structure: https://github.com/tailwindcss/tailwindcss/pull/637, Sample",,0
9,2.2.9,0.69263184,"        '9': '2.25rem',",,0
10,1.3.0,0.63119465,"While v1.2.0 is in pre-release, install it using:",,0
